cost_per_impression,start_date,end_date,total_budget,start_month,end_month,campaign_phase,days,region,locality,num_events,category,shop,tracking,ticket_capacity,average_ticket_price,facebook,instagram,google_search,google_display,twitter,facebook_likes,facebook_interest,instagram_interest,google_search_volume,twitter_interest
0.0024,181201.00,181231.00,6640.51,12.00,12.00,2.00,30.00,uk,single,,conference,custom,pv,10000.00,73.00,1.00,1.00,1.00,1.00,1.00,10000.00,,,,
0.0027,181001.00,181130.00,14404.99,10.00,11.00,1.00,60.00,uk,single,,conference,custom,pv,10000.00,73.00,1.00,1.00,1.00,1.00,1.00,10000.00,,,,
0.0054,190101.00,190115.00,735.58,1.00,1.00,3.00,14.00,switzerland,single,,music,showare,pu,9600.00,70.00,1.00,0.00,1.00,0.00,0.00,4500.00,,,,
0.0042,181020.00,181121.00,2004.42,10.00,11.00,1.00,32.00,switzerland,single,,music,showare,pu,9600.00,70.00,1.00,1.00,1.00,0.00,0.00,4500.00,,,,
0.0059,180928.00,181021.00,500.00,9.00,10.00,1.00,23.00,germany,multiple,,music,stagelink,pv,90.00,199.00,1.00,1.00,0.00,0.00,0.00,1100000.00,,,,
0.0028,181001.00,181015.00,500.00,10.00,10.00,1.00,14.00,germany,multiple,,music,adticket,pv,3000.00,16.00,1.00,1.00,1.00,0.00,0.00,6700.00,270000.00,200000.00,25000.00,80000.00
0.0028,181001.00,181016.00,553.00,10.00,10.00,1.00,15.00,germany,single,,conference,tito,pv,20000.00,75.00,1.00,1.00,1.00,0.00,0.00,24000.00,,,,
0.0039,181010.00,181026.00,1000.00,10.00,10.00,1.00,16.00,germany,single,,conference,universe,pv,3000.00,50.00,1.00,1.00,1.00,0.00,0.00,8000.00,,,,
0.0040,181006.00,181102.00,1016.00,10.00,11.00,1.00,27.00,germany,multiple,1.00,music,reservix,pv,30000.00,50.00,1.00,1.00,1.00,0.00,0.00,10000.00,530000.00,1300000.00,26000.00,420000.00
0.0043,181010.00,181029.00,1000.00,10.00,10.00,1.00,19.00,germany,single,,music,eventim,pv,10000.00,50.00,1.00,1.00,1.00,0.00,0.00,29000.00,380000.00,260000.00,20000.00,110000.00
0.0024,181011.00,181208.00,1000.00,10.00,12.00,1.00,58.00,austria,single,,music,eventbrite,no,500.00,24.00,1.00,1.00,1.00,0.00,0.00,17000.00,,,,
0.0031,181011.00,181110.00,500.00,10.00,11.00,1.00,30.00,austria,single,,magic,eventbrite,no,250.00,16.00,1.00,1.00,1.00,0.00,0.00,10000.00,,,,
0.0029,181023.00,181111.00,681.00,10.00,11.00,1.00,19.00,france,single,1.00,music,custom,pv,,,1.00,1.00,1.00,0.00,0.00,,,,,
0.0050,181023.00,181111.00,543.00,10.00,11.00,1.00,19.00,germany,single,1.00,music,custom,pv,,,1.00,1.00,1.00,0.00,0.00,,,,,
0.0055,181023.00,181111.00,613.00,10.00,11.00,1.00,19.00,germany,single,1.00,music,custom,pv,,,1.00,1.00,1.00,0.00,0.00,,,,,
0.0037,181023.00,181111.00,669.00,10.00,11.00,1.00,19.00,germany,single,1.00,music,custom,pv,,,1.00,1.00,1.00,0.00,0.00,,,,,
0.0063,181023.00,181111.00,502.00,10.00,11.00,1.00,19.00,switzerland,single,1.00,music,custom,pv,,,1.00,1.00,1.00,0.00,0.00,,,,,
0.0038,181023.00,181111.00,564.00,10.00,11.00,1.00,19.00,austria,single,1.00,music,custom,pv,,,1.00,1.00,1.00,0.00,0.00,,,,,
0.0049,181101.00,181121.00,359.00,11.00,11.00,1.00,20.00,germany,single,2.00,tradefair,stagelink,pv,,10.00,1.00,1.00,0.00,0.00,0.00,1600.00,2000000.00,1000.00,19000.00,
0.0059,181101.00,181121.00,1406.00,11.00,11.00,1.00,20.00,germany,single,2.00,tradefair,stagelink,pv,,10.00,1.00,1.00,0.00,0.00,0.00,1600.00,,,,
0.0055,181126.00,181229.00,1254.17,11.00,12.00,1.00,33.00,switzerland,single,1.00,musical,showare,pv,,60.00,1.00,1.00,1.00,0.00,0.00,4495.00,,,,
0.0047,181105.00,181130.00,1260.00,11.00,11.00,1.00,25.00,germany,single,1.00,music,custom,pv,,40.00,1.00,1.00,1.00,0.00,0.00,1400.00,1400.00,,20000.00,
0.0034,181102.00,181207.00,1007.96,11.00,12.00,1.00,35.00,switzerland,single,1.00,music,custom,no,,80.00,1.00,1.00,1.00,0.00,0.00,868.00,,,15000.00,
0.0060,181102.00,181110.00,741.46,11.00,11.00,1.00,8.00,germany,single,1.00,tradefair,nordwest,no,,10.00,1.00,1.00,1.00,0.00,0.00,3000.00,3000.00,,13000.00,
0.0049,181102.00,181110.00,561.37,11.00,11.00,1.00,8.00,germany,single,1.00,tradefair,nordwest,no,,10.00,1.00,1.00,1.00,0.00,0.00,3231.00,,,,
0.0053,181102.00,181110.00,900.70,11.00,11.00,1.00,8.00,germany,single,1.00,tradefair,nordwest,no,,10.00,1.00,1.00,1.00,0.00,0.00,3231.00,3000.00,,20000.00,
0.0059,181102.00,181110.00,623.25,11.00,11.00,1.00,8.00,germany,single,1.00,tradefair,nordwest,no,,10.00,1.00,1.00,1.00,0.00,0.00,3231.00,,,,
0.0052,181102.00,181110.00,250.64,11.00,11.00,1.00,8.00,germany,single,1.00,tradefair,nordwest,no,,10.00,1.00,1.00,1.00,0.00,0.00,3231.00,,,,
0.0019,181103.00,181217.00,2360.65,11.00,12.00,1.00,44.00,world,multiple,1.00,music,various,no,,30.00,1.00,1.00,0.00,0.00,0.00,1100000.00,1100000.00,,1500000.00,
0.0031,181109.00,181130.00,1011.00,11.00,11.00,1.00,21.00,germany,single,,music,custom,pv,,50.00,1.00,1.00,1.00,0.00,0.00,29000.00,380000.00,260000.00,20000.00,110000.00
0.0035,181106.00,181121.00,500.00,11.00,11.00,1.00,15.00,germany,single,1.00,music,eventbrite,pv,,10.00,1.00,1.00,1.00,0.00,0.00,100.00,100.00,,1000.00,
0.0036,181111.00,181212.00,1000.00,11.00,12.00,1.00,31.00,germany,multiple,1.00,music,eventbrite,pv,,20.00,1.00,1.00,1.00,0.00,0.00,46000.00,46000.00,,100000.00,
0.0016,181117.00,181130.00,1016.25,11.00,11.00,1.00,13.00,germany,single,1.00,other,metaltix,pv,,80.00,1.00,1.00,0.00,0.00,0.00,60000.00,60000.00,,100000.00,
0.0024,181201.00,181231.00,1513.56,12.00,12.00,2.00,30.00,germany,single,1.00,other,metaltix,pv,,80.00,1.00,1.00,1.00,0.00,0.00,60000.00,60000.00,,100000.00,
0.0048,181127.00,181223.00,660.00,11.00,12.00,1.00,26.00,switzerland,single,1.00,other,showare,pv,,50.00,1.00,1.00,0.00,0.00,0.00,150000.00,150000.00,,100000.00,
0.0045,181127.00,181223.00,660.00,11.00,12.00,1.00,26.00,switzerland,single,1.00,other,showare,pv,,50.00,1.00,1.00,0.00,0.00,0.00,150000.00,150000.00,,150000.00,
0.0044,181127.00,181202.00,1400.00,11.00,12.00,1.00,5.00,germany,multiple,29.00,magic,eventim,no,,40.00,1.00,1.00,1.00,0.00,0.00,556.00,10000000.00,,100000.00,
0.0047,181220.00,181231.00,2600.45,12.00,12.00,1.00,11.00,germany,multiple,3.00,music,eventim,no,,45.00,1.00,1.00,1.00,0.00,0.00,,,,,
0.0033,181127.00,181210.00,1011.50,11.00,12.00,1.00,13.00,germany,multiple,1.00,comedy,eventim,no,,40.00,1.00,0.00,1.00,0.00,0.00,1100000.00,2000000.00,990000.00,35000.00,720000.00
0.0041,181203.00,181231.00,501.85,12.00,12.00,1.00,28.00,germany,single,1.00,music,custom,no,,44.00,1.00,1.00,1.00,0.00,0.00,1000.00,1000.00,,10000.00,
0.0035,181123.00,181221.00,500.00,11.00,12.00,1.00,28.00,germany,multiple,1.00,comedy,eventim,no,,30.00,1.00,0.00,0.00,0.00,0.00,13000.00,135000.00,,200000.00,
0.0043,181126.00,181226.00,587.98,11.00,12.00,1.00,30.00,germany,single,4.00,comedy,ticket.io,no,2000.00,70.00,1.00,1.00,1.00,0.00,0.00,495.00,,,10000.00,
0.0044,181126.00,181220.00,426.21,11.00,12.00,1.00,24.00,germany,single,4.00,comedy,ticket.io,no,2000.00,70.00,1.00,1.00,1.00,0.00,0.00,495.00,,,10000.00,
0.0008,190101.00,190131.00,3881.17,1.00,1.00,2.00,30.00,austria,single,1.00,conference,eventbrite,pv,2500.00,1000.00,1.00,1.00,1.00,0.00,0.00,42000.00,15000.00,95000.00,3000.00,
0.0027,181206.00,181231.00,2118.83,12.00,12.00,1.00,25.00,austria,single,1.00,conference,eventbrite,pv,2500.00,1000.00,1.00,1.00,1.00,1.00,1.00,42000.00,15000.00,95000.00,3000.00,
0.0041,181203.00,181230.00,499.63,12.00,12.00,1.00,27.00,germany,multiple,11.00,music,custom,pv,10000.00,25.00,1.00,1.00,1.00,0.00,0.00,4000.00,1500000.00,,40000.00,100000.00
0.0041,181203.00,190104.00,500.00,12.00,1.00,1.00,32.00,germany,multiple,5.00,comedy,custom,pv,5000.00,25.00,1.00,1.00,1.00,0.00,0.00,230000.00,100000.00,,44000.00,2100000.00
0.0052,181203.00,181220.00,1000.00,12.00,12.00,1.00,17.00,germany,single,1.00,music,ticketmaster,no,,40.00,1.00,1.00,1.00,0.00,0.00,6900.00,2100000.00,2700000.00,15000.00,1400000.00
0.0048,181203.00,181221.00,538.00,12.00,12.00,1.00,18.00,germany,single,1.00,sports,qtixx,no,,40.00,1.00,1.00,1.00,0.00,0.00,,,,230000.00,
0.0038,181210.00,181224.00,1000.00,12.00,12.00,1.00,14.00,switzerland,multiple,1.00,theatre,showare,pv,50000.00,50.00,1.00,1.00,1.00,0.00,0.00,1290.00,1100000.00,880000.00,22000.00,430000.00
0.0011,181211.00,181224.00,1000.00,12.00,12.00,1.00,13.00,poland,multiple,9.00,music,ebilet.pl,no,,,1.00,1.00,0.00,0.00,0.00,1100000.00,1100000.00,,1500000.00,
0.0007,190104.00,190131.00,5555.00,1.00,1.00,1.00,27.00,europe,single,1.00,conference,eventbrite,pv,500.00,1000.00,1.00,1.00,1.00,0.00,0.00,100.00,,,100.00,
