cost per click,start date,start month,end date,end month,days,budget,country,region,events,content,shop,facebook likes,facebook interest,instagram likes,instagram interest,google search,twitter interest
0.1391,43070.00,12.00,43131.00,1.00,61.00,16000.00,netherlands,local,1.00,conference,custom,21000.00,1800000.00,19000.00,1100000.00,10000.00,80000.00
0.1889,43132.00,2.00,43159.00,2.00,27.00,10500.00,netherlands,local,1.00,conference,custom,21000.00,1800000.00,19000.00,1100000.00,10000.00,80000.00
0.2157,43160.00,3.00,43169.00,3.00,9.00,8000.00,netherlands,local,1.00,conference,custom,21000.00,1800000.00,19000.00,1100000.00,10000.00,80000.00
0.4433,43172.00,3.00,43175.00,3.00,3.00,1000.00,netherlands,local,1.00,conference,custom,21000.00,1800000.00,19000.00,1100000.00,10000.00,80000.00
0.2725,43070.00,12.00,43100.00,12.00,30.00,1000.00,germany,local,1.00,music,custom,26500.00,1500000.00,23000.00,1100000.00,25000.00,0.00
0.0874,43101.00,1.00,43220.00,4.00,119.00,8000.00,germany,local,1.00,music,custom,26500.00,1500000.00,23000.00,1100000.00,25000.00,0.00
0.0818,43221.00,5.00,43237.00,5.00,16.00,1401.50,germany,local,1.00,music,custom,26500.00,1500000.00,23000.00,1100000.00,25000.00,0.00
0.1529,43238.00,5.00,43251.00,5.00,13.00,2598.50,germany,local,1.00,music,custom,26500.00,1500000.00,23000.00,1100000.00,25000.00,0.00
0.1202,43252.00,6.00,43281.00,6.00,29.00,4138.00,germany,local,1.00,music,custom,26500.00,1500000.00,23000.00,1100000.00,25000.00,0.00
0.0822,43282.00,7.00,43321.00,8.00,39.00,9862.00,germany,local,1.00,music,custom,26500.00,1500000.00,23000.00,1100000.00,25000.00,0.00
0.2644,43231.00,5.00,43257.00,6.00,26.00,10025.50,germany,local,1.00,sports,worldfitness,9400.00,2240000.00,7800.00,1810000.00,26000.00,800000.00
0.3782,43266.00,6.00,43295.00,7.00,29.00,2713.00,germany,local,1.00,sports,worldfitness,9400.00,2240000.00,7800.00,1810000.00,26000.00,800000.00
0.4479,43203.00,4.00,43251.00,5.00,48.00,4914.00,germany,local,1.00,tradefair,stagelink,11000.00,820000.00,9300.00,1100000.00,8000.00,50000.00
0.1079,43252.00,6.00,43275.00,6.00,23.00,5086.00,germany,local,1.00,tradefair,stagelink,11000.00,820000.00,9300.00,1100000.00,8000.00,50000.00
0.2664,43279.00,6.00,43352.00,9.00,73.00,3300.00,germany,local,1.00,music,stagelink,1100000.00,100000.00,760000.00,70000.00,18000.00,76000.00
0.2315,43279.00,6.00,43368.00,9.00,89.00,1000.00,germany,tour,5.00,music,stagelink,159000.00,1300000.00,93000.00,830000.00,48000.00,800000.00
0.3732,43293.00,7.00,43352.00,9.00,59.00,1131.73,germany,local,8.00,music,eventim_inhouse,222000.00,315000.00,5800.00,300000.00,33000.00,21000.00
0.2212,43353.00,9.00,43506.00,2.00,153.00,3868.27,germany,local,8.00,music,eventim_inhouse,222000.00,315000.00,5800.00,300000.00,33000.00,21000.00
0.4171,43332.00,8.00,43373.00,9.00,41.00,1514.90,germany,tour,50.00,comedy,stagelink,85000.00,62000.00,78000.00,37000.00,10000.00,309000.00
0.1552,43302.00,7.00,43373.00,9.00,71.00,1500.00,germany,tour,5.00,music,reservix,65000.00,2800000.00,30000.00,1500000.00,72000.00,1200000.00
0.3046,43334.00,8.00,43373.00,9.00,39.00,2600.00,germany,tour,12.00,music,eventim,159000.00,1300000.00,93000.00,830000.00,48000.00,800000.00
0.3043,43160.00,3.00,43190.00,3.00,30.00,500.00,germany,tour,8.00,music,stagelink,31000.00,560000.00,21000.00,320000.00,51000.00,220000.00
0.9778,43025.00,10.00,43036.00,10.00,11.00,4927.69,germany,local,1.00,conference,stagelink,960000.00,1400000.00,430000.00,1200000.00,5000.00,219000.00
0.9471,43034.00,10.00,43052.00,11.00,18.00,5500.00,germany,local,1.00,tradefair,stagelink,13600.00,500000.00,8000.00,300000.00,500.00,0.00
0.2605,43052.00,11.00,43064.00,11.00,12.00,5500.00,germany,local,1.00,tradefair,stagelink,13600.00,500000.00,8000.00,300000.00,500.00,0.00
0.4245,43327.00,8.00,43358.00,9.00,31.00,500.00,germany,local,2.00,music,eventim,7000.00,140000.00,4000.00,230000.00,50000.00,150000.00
0.1054,43345.00,9.00,43356.00,9.00,11.00,656.75,germany,local,1.00,music,eventim,7000.00,430000.00,5200.00,650000.00,34000.00,330000.00
0.1070,43357.00,9.00,43380.00,10.00,23.00,1343.25,germany,local,1.00,music,eventim,7000.00,430000.00,5200.00,650000.00,34000.00,330000.00
0.7882,43344.00,9.00,43372.00,9.00,28.00,467.00,germany,local,1.00,music,starticket,29000.00,210000.00,21000.00,110000.00,11000.00,90000.00
0.1457,43373.00,9.00,43425.00,11.00,52.00,853.00,germany,local,1.00,music,starticket,29000.00,210000.00,21000.00,110000.00,11000.00,90000.00
0.4837,43350.00,9.00,43367.00,9.00,17.00,1000.00,germany,local,6.00,comedy,stagelink,2400.00,140000.00,1800.00,90000.00,10000.00,0.00
0.4061,43365.00,9.00,43380.00,10.00,15.00,2500.00,germany,tour,93.00,movie,stagelink,2900.00,3500000.00,1900.00,2700000.00,250000.00,1200000.00
0.1205,43357.00,9.00,43389.00,10.00,32.00,888.00,germany,tour,30.00,comedy,eventim,809000.00,1800000.00,651000.00,1100000.00,42000.00,940000.00
