cost_per_click,start_date,end_date,total_budget,start_month,end_month,campaign_phase,days,region,locality,num_events,category,shop,tracking,ticket_capacity,average_ticket_price,facebook,instagram,google_search,google_display,twitter,facebook_likes,facebook_interest,instagram_interest,google_search_volume,twitter_interest
0.4191,180425.00,180608.00,600.00,4.00,6.00,1.00,44.00,germany,single,,comedy,stagelink,pv,500.00,18.00,1.00,1.00,1.00,0.00,0.00,2400.00,140000.00,90000.00,10000.00,
0.1908,180402.00,180419.00,1517.00,4.00,4.00,2.00,17.00,germany,multiple,,coaching,elopage,pv,2000.00,50.00,1.00,0.00,1.00,0.00,0.00,28000.00,1300000.00,2500000.00,2000.00,380000.00
0.6490,180301.00,180409.00,1106.00,3.00,4.00,1.00,39.00,germany,single,,conference,custom,pv,20000.00,75.00,1.00,1.00,1.00,1.00,1.00,21500.00,1300000.00,900000.00,5000.00,9000.00
0.2053,180410.00,180531.00,19359.00,4.00,5.00,2.00,51.00,germany,single,,conference,custom,pv,20000.00,75.00,1.00,1.00,1.00,1.00,1.00,21500.00,1300000.00,900000.00,5000.00,9000.00
0.1901,180601.00,180619.00,13535.00,6.00,6.00,3.00,18.00,germany,single,,conference,custom,pv,20000.00,75.00,1.00,1.00,1.00,0.00,0.00,21500.00,1300000.00,900000.00,5000.00,9000.00
0.1721,180319.00,180403.00,500.00,3.00,4.00,2.00,15.00,switzerland,multiple,,music,showare,no,21000.00,50.00,1.00,0.00,1.00,0.00,0.00,1290.00,230000.00,280000.00,14000.00,130000.00
0.2964,180416.00,180430.00,1000.00,4.00,4.00,1.00,14.00,germany,multiple,,music,stagelink,pv,200000.00,20.00,1.00,1.00,1.00,0.00,0.00,76000.00,,,,
0.3057,180810.00,180817.00,1000.00,8.00,8.00,2.00,7.00,germany,multiple,,music,stagelink,pv,200000.00,20.00,1.00,1.00,1.00,0.00,0.00,76000.00,,,,
0.2459,180430.00,180602.00,1700.00,4.00,6.00,2.00,33.00,switzerland,multiple,,theatre,custom,pu,10000.00,65.00,1.00,1.00,1.00,1.00,1.00,1290.00,330000.00,420000.00,15000.00,120000.00
1.4471,180417.00,180504.00,8.50,4.00,5.00,1.00,17.00,usa,single,,coaching,eventbrite,pv,250.00,800.00,1.00,1.00,1.00,0.00,0.00,1000.00,,,,
0.1002,180325.00,180429.00,4000.00,3.00,4.00,2.00,35.00,switzerland,multiple,,theatre,custom,no,4000.00,60.00,1.00,0.00,1.00,1.00,1.00,1290.00,1100000.00,880000.00,22000.00,430000.00
0.4433,180313.00,180316.00,1000.00,3.00,3.00,4.00,3.00,netherlands,single,,conference,custom,pu,1000.00,350.00,1.00,1.00,0.00,0.00,0.00,21000.00,1800000.00,1100000.00,10000.00,80000.00
0.2157,180301.00,180310.00,8000.00,3.00,3.00,3.00,9.00,netherlands,single,,conference,custom,pv,1000.00,350.00,1.00,1.00,1.00,0.00,0.00,21000.00,1800000.00,1100000.00,10000.00,80000.00
0.1889,180201.00,180228.00,10500.00,2.00,2.00,2.00,27.00,netherlands,single,,conference,custom,pu,1000.00,350.00,1.00,1.00,1.00,0.00,0.00,21000.00,1800000.00,1100000.00,10000.00,80000.00
0.1391,171201.00,180131.00,16000.00,12.00,1.00,1.00,61.00,netherlands,single,,conference,custom,pv,1000.00,350.00,1.00,1.00,1.00,1.00,1.00,21000.00,1800000.00,1100000.00,10000.00,80000.00
0.0616,180502.00,180507.00,188.50,5.00,5.00,6.00,5.00,germany,single,,music,stagelink,pv,4000.00,40.00,1.00,1.00,1.00,0.00,0.00,18000.00,1500000.00,1300000.00,8000.00,50000.00
0.0916,180403.00,180501.00,2220.50,4.00,5.00,5.00,28.00,germany,single,,music,stagelink,pv,4000.00,40.00,1.00,1.00,1.00,0.00,0.00,18000.00,1500000.00,1300000.00,8000.00,50000.00
0.1132,180323.00,180402.00,941.50,3.00,4.00,4.00,10.00,germany,single,,music,stagelink,pv,4000.00,40.00,1.00,1.00,1.00,0.00,0.00,18000.00,1500000.00,1300000.00,8000.00,50000.00
0.1303,180502.00,180507.00,158.50,5.00,5.00,5.00,5.00,germany,single,,music,stagelink,pv,15000.00,40.00,1.00,1.00,1.00,0.00,0.00,18000.00,1500000.00,1300000.00,8000.00,50000.00
0.1823,180403.00,180501.00,4581.00,4.00,5.00,4.00,28.00,germany,single,,music,stagelink,pv,15000.00,40.00,1.00,1.00,1.00,0.00,0.00,18000.00,1500000.00,1300000.00,8000.00,50000.00
0.1424,180323.00,180402.00,872.50,3.00,4.00,3.00,10.00,germany,single,,music,stagelink,pv,15000.00,40.00,1.00,1.00,1.00,0.00,0.00,18000.00,1500000.00,1300000.00,8000.00,50000.00
0.0822,180701.00,180809.00,9862.00,7.00,8.00,6.00,39.00,germany,single,,music,custom,pv,5000.00,90.00,1.00,1.00,1.00,0.00,0.00,26500.00,1500000.00,1100000.00,25000.00,
0.1526,180518.00,180531.00,2598.50,5.00,5.00,4.00,13.00,germany,single,,music,custom,pv,5000.00,90.00,1.00,1.00,1.00,0.00,0.00,26500.00,1500000.00,1100000.00,25000.00,
0.0818,180501.00,180517.00,1401.50,5.00,5.00,3.00,16.00,germany,single,,music,custom,pv,5000.00,90.00,1.00,1.00,1.00,0.00,0.00,26500.00,1500000.00,1100000.00,25000.00,
0.1202,180601.00,180630.00,4138.00,6.00,6.00,5.00,29.00,germany,single,,music,custom,pv,5000.00,90.00,1.00,1.00,1.00,0.00,0.00,26500.00,1500000.00,1100000.00,25000.00,
0.3782,180615.00,180714.00,2713.00,6.00,7.00,2.00,29.00,germany,single,,sports,eventbrite,pv,50000.00,10.00,1.00,1.00,0.00,0.00,0.00,9400.00,2240000.00,1810000.00,26000.00,800000.00
0.1079,180601.00,180624.00,5086.00,6.00,6.00,2.00,23.00,germany,single,,tradefair,stagelink,pv,100000.00,10.00,1.00,1.00,1.00,0.00,0.00,11000.00,820000.00,1100000.00,8000.00,50000.00
0.1242,171206.00,171231.00,1000.00,12.00,12.00,1.00,25.00,germany,single,,tradefair,paylogic,no,50000.00,50.00,0.00,0.00,1.00,0.00,0.00,40000.00,,,,
0.2413,180910.00,190210.00,3868.27,9.00,2.00,2.00,153.00,germany,single,,music,eventim,pv,12000.00,30.00,1.00,1.00,1.00,0.00,0.00,222000.00,315000.00,300000.00,33000.00,21000.00
0.5418,181001.00,181016.00,354.00,10.00,10.00,2.00,15.00,germany,multiple,48.00,comedy,stagelink,pv,35000.00,28.00,1.00,1.00,1.00,0.00,0.00,85000.00,62000.00,37000.00,10000.00,309000.00
0.1125,181001.00,181222.00,1500.00,10.00,12.00,2.00,82.00,germany,multiple,,music,custom,pv,25000.00,50.00,1.00,1.00,1.00,0.00,0.00,65000.00,2800000.00,1500000.00,72000.00,1200000.00
0.0872,170602.00,170609.00,500.00,6.00,6.00,1.00,7.00,germany,multiple,,music,reservix,no,,,1.00,1.00,1.00,0.00,0.00,,,,,
0.1743,170920.00,171012.00,500.00,9.00,10.00,2.00,22.00,germany,multiple,,music,reservix,no,,,1.00,0.00,0.00,0.00,0.00,,,,,
0.1139,170615.00,170708.00,1000.00,6.00,7.00,1.00,23.00,germany,single,,tradefair,stagelink,pv,100000.00,12.00,1.00,1.00,1.00,0.00,0.00,,,,,
0.1457,170519.00,170720.00,2695.50,5.00,7.00,1.00,62.00,germany,single,,music,stagelink,pv,15000.00,40.00,1.00,1.00,1.00,0.00,0.00,18000.00,,,,
0.2416,170729.00,170820.00,2687.00,7.00,8.00,3.00,22.00,germany,single,,music,stagelink,pv,15000.00,40.00,1.00,1.00,1.00,0.00,0.00,18000.00,,,,
0.2547,170622.00,170704.00,323.00,6.00,7.00,1.00,12.00,germany,multiple,,beauty,stagelink,pv,,,1.00,1.00,1.00,0.00,0.00,,,,,
0.2558,170628.00,170801.00,3437.00,6.00,8.00,1.00,34.00,germany,multiple,,music,eventim,no,,,1.00,1.00,1.00,0.00,0.00,,,,,
0.4990,170912.00,170917.00,22.50,9.00,9.00,2.00,5.00,germany,multiple,,music,eventim,no,,,1.00,1.00,1.00,0.00,0.00,,,,,
0.3517,170724.00,170830.00,50.00,7.00,8.00,1.00,37.00,germany,single,,music,stagelink,pv,,,1.00,1.00,0.00,0.00,0.00,,,,,
0.2470,170824.00,170930.00,200.00,8.00,9.00,1.00,37.00,germany,multiple,,music,stagelink,pv,,,1.00,1.00,1.00,0.00,0.00,,,,,
0.0998,170818.00,170831.00,500.00,8.00,8.00,1.00,13.00,switzerland,multiple,,comedy,stagelink,pv,2000.00,30.00,1.00,0.00,0.00,0.00,0.00,47000.00,,,,
0.0806,170927.00,171005.00,500.00,9.00,10.00,2.00,8.00,switzerland,multiple,,comedy,stagelink,pv,2000.00,30.00,1.00,1.00,0.00,0.00,0.00,47000.00,,,,
